datetime,hoursSinceStart,month,weekday,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,total
1/1/2011 0:00,0,1,7,1,0,0,1,9.84,14.395,81,0,3,13,16
1/1/2011 1:00,1,1,7,1,0,0,1,9.02,13.635,80,0,8,32,40
1/1/2011 2:00,2,1,7,1,0,0,1,9.02,13.635,80,0,5,27,32
1/1/2011 3:00,3,1,7,1,0,0,1,9.84,14.395,75,0,3,10,13
1/1/2011 4:00,4,1,7,1,0,0,1,9.84,14.395,75,0,0,1,1
1/1/2011 5:00,5,1,7,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
1/1/2011 6:00,6,1,7,1,0,0,1,9.02,13.635,80,0,2,0,2
1/1/2011 7:00,7,1,7,1,0,0,1,8.2,12.88,86,0,1,2,3
1/1/2011 8:00,8,1,7,1,0,0,1,9.84,14.395,75,0,1,7,8
1/1/2011 9:00,9,1,7,1,0,0,1,13.12,17.425,76,0,8,6,14
1/1/2011 10:00,10,1,7,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
1/1/2011 11:00,11,1,7,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
1/1/2011 12:00,12,1,7,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
1/1/2011 13:00,13,1,7,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
1/1/2011 14:00,14,1,7,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
1/1/2011 15:00,15,1,7,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
1/1/2011 16:00,16,1,7,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
1/1/2011 17:00,17,1,7,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
1/1/2011 18:00,18,1,7,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
1/1/2011 19:00,19,1,7,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
1/1/2011 20:00,20,1,7,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
1/1/2011 21:00,21,1,7,1,0,0,2,16.4,20.455,87,12.998,3,31,34
